timestamp,symbol,action,entry,stop,TP1,TP2,TP3,TP4,TP5,status,quantity,highest_tp
2026-06-14 15:14:41,USADUSDT,SHORT,1.0020009999999997,1.012021,0.997993,0.993985,0.989977,0.985969,0.981961,open,998.003992,-1
2026-06-14 16:46:56,XMRUSDT,LONG,341.02863,325.016014,347.433676,353.838723,360.243769,366.648816,373.053862,open,0.624508,-1
2026-06-15 01:22:41,OPGUSDT,LONG,0.30239330400000003,0.273453,0.313969,0.325546,0.337122,0.348698,0.360274,open,345.538872,-1
