timestamp,symbol,action,entry,stop,TP1,TP2,TP3,TP4,TP5,status,quantity,original_qty,highest_tp,breakeven
2026-06-30 08:03:47,DOT-USD,SHORT,0.8154,0.864186,0.795886,0.776371,0.756857,0.737342,0.717828,open,203.75950046,203.75950046,-1,False
2026-07-01 16:03:23,BNB-USD,SHORT,553.892,572.488071,546.453572,539.015143,531.576715,524.138286,516.699858,open,0.363839245,0.51977035,0,True
2026-07-01 17:14:31,DOGE-USD,SHORT,0.07295,0.075868,0.071783,0.070616,0.069448,0.068281,0.067114,open,2318.704739337,3312.43534191,0,True
