timestamp,symbol,action,entry,stop,TP1,TP2,TP3,TP4,TP5,status,hit_level,close_time,exit_price,quantity,pnl_usdt,original_qty,highest_tp
2026-06-15 10:29:52,ZECUSDT,LONG,493.57593,471.808793,502.282785,510.98964,519.696494,528.403349,537.110204,open,TP1 (partial),2026-06-15 11:42:39,502.28278480000006,0.0918816,0.8,0.459408,-1.0
2026-06-15 10:29:52,ZECUSDT,LONG,493.57593,471.808793,502.282785,510.98964,519.696494,528.403349,537.110204,open,STOP LOSS (after TP1),2026-06-15 11:42:39,493.57593,0.3675264,0.0,0.459408,-1.0
2026-06-15 11:43:19,ZECUSDT,LONG,534.29517,508.029106,544.801596,555.308021,565.814447,576.320872,586.827298,open,STOP LOSS,2026-06-16 01:11:13,508.029106,0.381024,-10.008,0.381024,-1.0
2026-06-16 01:11:48,AAVEUSDT,LONG,74.07585,71.389779,75.150278,76.224707,77.299135,78.373564,79.447992,open,TP1 (partial),2026-06-16 08:21:35,75.1502784,0.7377258000000001,0.7926,3.688629,-1.0
2026-06-16 05:01:50,XPLUSDT,LONG,0.095699205,0.0886599198681368,0.098515,0.101331,0.104146,0.106962,0.109778,open,TP1 (partial),2026-06-16 08:21:35,0.0985149190527452,281.5035846,0.7926,1407.517923,-1.0
2026-06-16 01:11:48,AAVEUSDT,LONG,74.07585,71.389779,75.150278,76.224707,77.299135,78.373564,79.447992,open,STOP LOSS (after TP1),2026-06-16 11:12:27,74.07585,2.9509032,0.0,3.688629,0.0
2026-06-16 04:27:51,XRPUSDT,LONG,1.22877,1.1918378466388158,1.243543,1.258316,1.273089,1.287861,1.302634,open,TP1 (partial),2026-06-16 11:12:27,1.2435428613444737,53.6547106,0.7926,268.273553,-1.0
2026-06-16 05:01:50,XPLUSDT,LONG,0.095699205,0.0886599198681368,0.098515,0.101331,0.104146,0.106962,0.109778,open,STOP LOSS (after TP1),2026-06-16 11:12:27,0.095699205,1126.0143384,0.0,1407.517923,0.0
2026-06-16 04:27:51,XRPUSDT,LONG,1.22877,1.1918378466388158,1.243543,1.258316,1.273089,1.287861,1.302634,open,STOP LOSS (after TP1),2026-06-16 14:42:57,1.22877,214.6188424,0.0,268.273553,0.0
2026-06-16 11:13:04,ZECUSDT,LONG,517.6917900000001,486.1275069015068,530.317503,542.943216,555.56893,568.194643,580.820356,open,STOP LOSS,2026-06-16 14:42:57,486.1275069015068,0.31465,-9.9317,0.31465,-1.0
2026-06-16 08:22:23,WBTUSDT,LONG,54.3456,53.47920582079206,54.692158,55.038715,55.385273,55.731831,56.078388,open,TP1 (partial),2026-06-16 16:46:51,54.69215767168317,2.2908216,0.7939,11.454108,-1.0
2026-06-16 08:22:23,WBTUSDT,LONG,54.3456,53.47920582079206,54.692158,55.038715,55.385273,55.731831,56.078388,open,STOP LOSS (after TP1),2026-06-16 16:46:51,54.3456,9.1632864,0.0,11.454108,-1.0
2026-06-16 14:43:28,ZECUSDT,LONG,488.75076,454.0043360062082,502.64933,516.547899,530.446469,544.345038,558.243608,open,TP1 (partial),2026-06-16 16:46:51,502.6493295975167,0.056595,0.7866,0.282975,-1.0
2026-06-16 14:43:28,ZECUSDT,LONG,488.75076,454.0043360062082,502.64933,516.547899,530.446469,544.345038,558.243608,open,STOP LOSS (after TP1),2026-06-17 00:20:52,488.75076,0.2263799999999999,0.0,0.282975,0.0
2026-06-16 16:53:02,XRPUSDT,LONG,1.20879,1.165418565277372,1.226139,1.243487,1.260836,1.278184,1.295533,open,TP1 (partial),2026-06-17 00:20:52,1.2261385738890511,45.4132402,0.7879,227.066201,-1.0
2026-06-16 16:53:02,XRPUSDT,LONG,1.20879,1.165418565277372,1.226139,1.243487,1.260836,1.278184,1.295533,open,TRAILING STOP,2026-06-17 07:31:18,1.20879,181.6529608,0.0,227.066201,0.0
2026-06-17 00:21:38,AAVEUSDT,LONG,75.87405,72.25797775399344,77.320479,78.766908,80.213337,81.659766,83.106194,open,TP1 (50%),2026-06-17 07:31:18,77.320479,1.3628135,1.9712,2.725627,-1.0
2026-06-17 00:21:38,AAVEUSDT,LONG,75.87405,72.25797775399344,77.320479,78.766908,80.213337,81.659766,83.106194,open,TRAILING STOP,2026-06-17 07:31:18,75.87405,1.3628135,0.0,2.725627,-1.0
