timestamp,symbol,action,entry,stop,TP1,TP2,TP3,TP4,TP5,status,hit_level,close_time,exit_price,quantity,pnl,original_qty,highest_tp,breakeven
2026-06-21 06:02:38,NEAR-USD,LONG,2.2170000076293945,2.078804,2.272278,2.327557,2.382835,2.438114,2.493392,open,TP1,2026-06-21 09:45:08,2.272278,21.708297159,1.2,72.36099053,-1.0,False
2026-06-21 06:02:38,NEAR-USD,LONG,2.2170000076293945,2.078804,2.272278,2.327557,2.382835,2.438114,2.493392,open,BREAKEVEN STOP,2026-06-21 11:01:20,2.2170000076293945,50.652693371,0.0,72.36099053,0.0,True
2026-06-21 09:45:33,HBAR-USD,SHORT,0.07988,0.082414,0.078866,0.077853,0.076839,0.075826,0.074812,open,TP1,2026-06-22 00:28:44,0.078866,1185.319642167,1.2019,3951.06547389,-1.0,False
2026-06-21 09:45:33,HBAR-USD,SHORT,0.07988,0.082414,0.078866,0.077853,0.076839,0.075826,0.074812,open,BREAKEVEN STOP,2026-06-22 03:28:55,0.07988,2765.745831723,0.0,3951.06547389,0.0,True
2026-06-22 00:29:10,WLD-USD,LONG,0.622,0.58468,0.636928,0.651856,0.666784,0.681712,0.69664,open,TP1,2026-06-22 03:28:55,0.636928,80.578931286,1.2029,268.59643762,-1.0,False
2026-06-22 00:29:10,WLD-USD,LONG,0.622,0.58468,0.636928,0.651856,0.666784,0.681712,0.69664,open,TP2,2026-06-22 08:01:50,0.651856,26.859643762000005,0.8019,268.59643762,0.0,True
2026-06-22 00:29:10,WLD-USD,LONG,0.622,0.58468,0.636928,0.651856,0.666784,0.681712,0.69664,open,BREAKEVEN STOP,2026-06-22 12:07:44,0.636928,161.157862572,0.0,268.59643762,1.0,True
2026-06-21 05:14:32,CRO-USD,SHORT,0.0586399994790554,0.060113,0.058051,0.057462,0.056872,0.056283,0.055694,open,TP1,2026-06-23 04:06:03,0.058051,2036.659157511,1.1996,6788.86385837,-1.0,False
2026-06-20 13:59:29,BCH-USD,SHORT,197.3500061035156,207.63037,192.209824,187.069642,176.789278,166.508914,145.948187,open,TP1,2026-06-23 08:06:51,192.209824,0.291818463,1.5,0.97272821,-1.0,False
2026-06-21 05:14:32,CRO-USD,SHORT,0.0586399994790554,0.060113,0.058051,0.057462,0.056872,0.056283,0.055694,open,BREAKEVEN STOP,2026-06-23 08:06:51,0.0586399994790554,4752.204700859,0.0,6788.86385837,0.0,True
2026-06-23 04:06:27,GRAM-USD,LONG,1.676,1.561096,1.721962,1.767923,1.813885,1.859846,1.905808,open,TP1,2026-06-23 08:06:51,1.721962,26.255125152,1.2067,87.51708384,-1.0,False
2026-06-23 04:06:27,GRAM-USD,LONG,1.676,1.561096,1.721962,1.767923,1.813885,1.859846,1.905808,open,BREAKEVEN STOP,2026-06-23 08:06:51,1.676,61.261958688,0.0,87.51708384,0.0,True
2026-06-20 13:59:29,BCH-USD,SHORT,197.3500061035156,207.63037,192.209824,187.069642,176.789278,166.508914,145.948187,open,BREAKEVEN STOP,2026-06-23 12:01:52,197.3500061035156,0.6809097470000001,0.0,0.97272821,0.0,True
2026-06-21 07:02:51,XMR-USD,SHORT,319.9418029785156,339.138311,312.2632,304.584597,296.905993,289.22739,281.548787,open,TP1,2026-06-23 12:01:52,312.2632,0.156278424,1.2,0.52092808,-1.0,False
2026-06-21 07:02:51,XMR-USD,SHORT,319.9418029785156,339.138311,312.2632,304.584597,296.905993,289.22739,281.548787,open,BREAKEVEN STOP,2026-06-23 12:01:52,319.9418029785156,0.364649656,0.0,0.52092808,0.0,True
2026-06-23 12:02:22,ADA-USD,SHORT,0.1534,0.161882,0.150007,0.146614,0.143222,0.139829,0.136436,open,TP1,2026-06-23 16:14:48,0.150007,357.054835512,1.2115,1190.18278504,-1.0,False
2026-06-20 16:01:55,AVAX-USD,SHORT,6.130000114440918,6.4978,5.98288,5.83576,5.68864,5.54152,5.3944,open,STOP LOSS,2026-06-24 00:07:39,6.4978,27.18869796,-10.0,27.18869796,-1.0,False
